hash,entropy
5e52fee47e6b070565f74372468cdc699de89107,3.7348295085032612
3e9b7e6c958529d2990500485bab850a9db4f790,3.6312867722513538
114930ab18ffb46632ebcd4e4c12e3b52153b5be,3.656198332810094
02307adea82a99d4a86a774800ff968d71ed2772,3.5250705203641814
8385ddcc6a14bb06c1ea6edc64d8035a149cdec1,3.568453957701921
78a82e111fb5d178ba235ec4adf73be5ea7b3437,3.593942707918268
00f6d5caa70462ffb044cde7a4c06c5cfbc418d1,3.5970851333950877
1b859d06e53d29beb6db20ad239c1d64cae62564,3.684829508503261
f6df9d83b9b2363fe69af9a475b8c0f656eccef9,3.678212945841001
05e5a4602e7e8052944aceb3f8bcced4bded1b17,3.808694969562841
bf52843ba92f060508fcc9a6d6d61220476c78c7,3.7750705203641814
16f9631a035e7765a021461f948502bc907f3198,3.7561983328100945
30aeb1fdf3610f87ab47eab9a63f16e3b1ea31f6,3.4609640474436807
6c996cc00e22dfdfd6c78d4732954541bdbf4e42,3.734829508503261
4961135ebf53ab94360caa0b3ed5a26420711f71,3.787326145256008
1778231899459868bdbec64db0c86f05a4124c0e,3.868453957701921
9802d981393a936540aeddb078fa2a7847a19fa8,3.6782129458410013
690cb3036f9758162984fbd84dea68fe5e47d53c,3.8898227820087543
12d18df13eeb373a46481a8688c9e81771259d91,3.6485356706486742
29ed0160dbc0a2bace710df2a12e868ab718f4bd,3.6841837197791882
e0f57a5cb5352044775ad13a4f088c0a57b92d05,3.671527784112274
f68c3bbee562e14c90337b48e5d82a1e1e783405,3.808694969562841
88b5ac9670c5127c9c3e318e70b3688cdab4543f,3.834829508503261
6e3a405363ee5aabfb8728ce7c08d345eb3e3c62,3.6332062193464947
61719b62e12dc0e306fe03a419ccfef123154d0d,3.720950594454668
3caebbe8949658aad72bef6cf403a547259183fc,3.902078406900581
f5083ff33dcc45fe6d300c587072875c4c605f08,3.3945884966423407
1a9849b54ea99b7132d6c7e7317fad26a05902ee,3.843942707918268
4d1e0e9b1d733e990010a4a7d8256f5d407cb875,3.8373261452560077
e2b70b1266234a5ff55b61b0a3babddcfff8a642,3.675070520364181
63bc0697f63752c62416397519f85a39f92491eb,3.699581770147835
0333ba975b30bd43bcad76208eac16b693ce8d28,3.730709582593748
1f709809f1e1cd7cec645c4fad4ffc9ccb660775,3.596039033895927
d62cc6a81f1a61f1fbaba5a8b59a2605e783679f,3.6873261452560078
bfec4b426449ec7475cfe68325b9f7e9dbb51267,3.628212945841001
a146294ff46553979ed09c4caeaee8e3e0e8a353,3.661768795973194
c65be9460f69228c29203a464919ab758372a817,3.765957320949174
99310824ad6920b3656e77971299ae7554c79a59,3.6250705203641815
3351e9ecb49c618b49c92dad39ff04548c82662c,3.765957320949174
0cb907d35971ad4b69b5ae5d119cadc019b4310a,3.553701696057348
8f54685374577b329bc31cb5b5fe6da703221afb,3.8037016960573475
2e5f6f7fa87e0728b727fadebb7277d53f965d69,3.487326145256008
4d94275a8a56cb560c124cca2640b26a884f7507,3.625070520364181
0d5cd994abcf882ae3486d20417ba5f7c9f75e05,3.902078406900581
ece40cdc506e5548adab65e86742c7e7d402310d,3.6439427079182685
9e7f00874d1743833d76e60cca66eff5cc539281,3.7964393446710147
d66e38bbfe7bcb4ff2757cb4f24cc32d6c2e6079,3.6037016960573474
afabbd77f4c1bb33e0ddf4c4361a97c064607d12,3.6898227820087546
77e6ff967d012b807873337bd2652315a49611b7,3.6928966084191077
fe20af239474a60a035991e9881bdc07e7427ef0,3.806198332810095
f5216075e3db5284a0dcf2dab004507c081b85cc,3.718453957701921
1ed9db12660fea85f77aaa87a2dbc361603ed418,3.8250705203641813
b3c2f3acd4840edd2bafce3cff012fb3ed2c0f43,3.428212945841001
8295011c3bff1cd547da8b1839bce9f44a710437,3.7995817701478343
9705bd25d204f3e12880e4356c95b1d161a84544,3.8159573209491744
3af3c8b20f3603f6d78682f6354006b6d1ef7ba3,3.6184539577019215
31825dc4978a36df05d089cabbe3adf6e90e119c,3.8898227820087543
e2f06828af291991ff406aefbc52cb6945e90e44,3.603701696057348
5dc2e2f8c7dcaa536424285383d35f906b63ea6c,3.725070520364181
